Case,Checking_status,Credit_history,Purpose,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
284,'no checking','critical/other existing credit',furniture/equipment,low,'no known savings','>=7','male single',old aged,skilled,good
285,'0<=X<200','critical/other existing credit','new car',medium,'100<=X<500','<1','male div/sep',young,skilled,good
286,'<0','existing paid','new car',high,'<100','<1','female div/dep/mar',young,'unskilled resident',good
287,'<0','existing paid','used car',medium,'<100','4<=X<7','male single',young,skilled,good
288,'0<=X<200','delayed previously',other,medium,'100<=X<500',unemployed,'male single',young,'high qualif/self emp/mgmt',good
289,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',middle aged,skilled,good
290,'<0','delayed previously',radio/tv,low,'<100','<1','male mar/wid',middle aged,skilled,bad
291,'no checking','existing paid',business,low,'<100','1<=X<4','male mar/wid',young,skilled,good
292,'0<=X<200','existing paid','used car',high,'<100','<1','male mar/wid',young,'high qualif/self emp/mgmt',bad
293,'<0','critical/other existing credit','used car',medium,'<100','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
294,'>=200','critical/other existing credit','used car',medium,'<100','>=7','male single',middle aged,skilled,good
295,'no checking','critical/other existing credit',business,medium,'no known savings','>=7','male div/sep',middle aged,'high qualif/self emp/mgmt',good
296,'0<=X<200','existing paid',furniture/equipment,high,'<100','<1','female div/dep/mar',young,skilled,bad
297,'no checking','existing paid','used car',medium,'no known savings','<1','female div/dep/mar',young,skilled,good
298,'no checking','existing paid','new car',low,'no known savings','>=7','male single',middle aged,'unskilled resident',good
299,'no checking','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',middle aged,skilled,good
300,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'>=1000','4<=X<7','male single',young,skilled,good
301,'no checking','existing paid','new car',low,'<100',unemployed,'female div/dep/mar',middle aged,'unemp/unskilled non res',good
302,'0<=X<200','no credits/all paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',middle aged,skilled,bad
303,'>=200','critical/other existing credit','new car',low,'no known savings','4<=X<7','male single',young,'unskilled resident',bad
304,'<0','critical/other existing credit','new car',low,'<100','4<=X<7','male single',middle aged,skilled,good
305,'no checking','critical/other existing credit','new car',high,'500<=X<1000','1<=X<4','male single',middle aged,skilled,bad
306,'no checking','existing paid',furniture/equipment,low,'>=1000','1<=X<4','male div/sep',young,skilled,good
307,'no checking','existing paid','used car',medium,'no known savings','4<=X<7','female div/dep/mar',young,'unskilled resident',good
308,'<0','existing paid',radio/tv,low,'100<=X<500','<1','male mar/wid',young,'unskilled resident',bad
309,'0<=X<200','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
310,'0<=X<200','existing paid','new car',low,'<100','1<=X<4','male mar/wid',young,'unskilled resident',good
311,'0<=X<200','existing paid',other,medium,'no known savings',unemployed,'male single',middle aged,'unemp/unskilled non res',good
312,'no checking','existing paid',furniture/equipment,medium,'100<=X<500','1<=X<4','male single',young,skilled,good
313,'>=200','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,good
314,'0<=X<200','existing paid','new car',low,'<100','4<=X<7','male mar/wid',young,'unskilled resident',bad
315,'>=200','existing paid','new car',low,'no known savings','<1','male single',young,'unskilled resident',good
316,'<0','all paid',furniture/equipment,medium,'<100','>=7','male single',young,skilled,bad
317,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,'unskilled resident',good
318,'0<=X<200','existing paid',furniture/equipment,medium,'no known savings','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
319,'no checking','critical/other existing credit',education,low,'<100','1<=X<4','male single',young,skilled,good
320,'<0','delayed previously',furniture/equipment,medium,'<100','>=7','female div/dep/mar',young,'unskilled resident',good
321,'0<=X<200','critical/other existing credit','new car',medium,'<100',unemployed,'male mar/wid',young,'high qualif/self emp/mgmt',bad
322,'<0','existing paid',radio/tv,low,'<100','<1','male div/sep',young,skilled,bad
323,'<0','existing paid','used car',medium,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
324,'<0','existing paid',furniture/equipment,medium,'>=1000','1<=X<4','male single',young,skilled,good
325,'no checking','critical/other existing credit','new car',low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
326,'<0','critical/other existing credit','new car',medium,'<100','4<=X<7','male single',young,'unskilled resident',good
327,'no checking','critical/other existing credit',furniture/equipment,medium,'no known savings','>=7','male single',middle aged,skilled,good
328,'no checking','existing paid','new car',low,'>=1000','4<=X<7','female div/dep/mar',young,skilled,good
329,'>=200','existing paid',radio/tv,medium,'<100','>=7','male single',young,skilled,good
330,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','male single',young,skilled,good
331,'<0','critical/other existing credit','used car',medium,'<100',unemployed,'male single',old aged,'high qualif/self emp/mgmt',good
332,'no checking','critical/other existing credit',education,low,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,bad
333,'0<=X<200','existing paid','new car',medium,'100<=X<500','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
334,'no checking','critical/other existing credit','used car',high,'100<=X<500','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
335,'<0','no credits/all paid',furniture/equipment,medium,'<100','>=7','male single',young,skilled,bad
336,'<0','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','male div/sep',middle aged,'high qualif/self emp/mgmt',bad
337,'0<=X<200','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',good
338,'<0','existing paid','domestic appliance',low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,bad
339,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
340,'0<=X<200','existing paid',furniture/equipment,low,'<100','1<=X<4','male div/sep',young,'unskilled resident',good
341,'0<=X<200','critical/other existing credit',education,medium,'<100','<1','female div/dep/mar',young,skilled,good
342,'<0','existing paid',furniture/equipment,medium,'<100','4<=X<7','female div/dep/mar',young,'unskilled resident',good
343,'0<=X<200','existing paid',radio/tv,medium,'500<=X<1000','<1','male mar/wid',young,skilled,good
344,'0<=X<200','existing paid',business,medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
345,'>=200','existing paid','new car',medium,'<100','<1','male single',young,'unskilled resident',good
346,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
347,'0<=X<200','critical/other existing credit',radio/tv,low,'<100','<1','male single',young,skilled,good
348,'0<=X<200','existing paid',radio/tv,medium,'500<=X<1000',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',good
349,'no checking','delayed previously',business,low,'100<=X<500','1<=X<4','male single',young,'unskilled resident',good
350,'0<=X<200','critical/other existing credit',education,low,'>=1000','>=7','male single',young,skilled,bad
351,'no checking','existing paid','domestic appliance',low,'<100','<1','female div/dep/mar',young,skilled,good
352,'0<=X<200','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
353,'no checking','critical/other existing credit','used car',medium,'no known savings',unemployed,'male single',young,'high qualif/self emp/mgmt',good
354,'<0','no credits/all paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,bad
355,'no checking','existing paid',education,low,'500<=X<1000','>=7','male single',middle aged,skilled,good
356,'0<=X<200','existing paid','new car',low,'<100','<1','male single',young,'unskilled resident',bad
357,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
358,'no checking','delayed previously',radio/tv,medium,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',bad
359,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,good
360,'<0','existing paid',furniture/equipment,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,bad
361,'0<=X<200','existing paid',education,low,'no known savings','1<=X<4','male single',old aged,skilled,good
362,'>=200','existing paid',radio/tv,medium,'no known savings','>=7','male single',young,'high qualif/self emp/mgmt',good
363,'>=200','delayed previously','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
364,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','male mar/wid',young,skilled,good
365,'<0','existing paid',furniture/equipment,medium,'<100',unemployed,'male single',young,'unemp/unskilled non res',bad
366,'no checking','existing paid',business,low,'<100','4<=X<7','male single',young,skilled,good
367,'no checking','critical/other existing credit','used car',medium,'<100','4<=X<7','male single',young,skilled,good
368,'<0','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,good
369,'<0','existing paid',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,bad
370,'0<=X<200','existing paid',furniture/equipment,medium,'<100','4<=X<7','female div/dep/mar',middle aged,skilled,good
371,'no checking','existing paid','new car',medium,'no known savings','1<=X<4','male single',young,skilled,good
372,'no checking','critical/other existing credit',radio/tv,medium,'<100','>=7','male single',young,skilled,good
373,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,good
374,'no checking','critical/other existing credit','new car',high,'no known savings','>=7','male single',old aged,'high qualif/self emp/mgmt',good
375,'0<=X<200','all paid',other,high,'100<=X<500','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',bad
376,'<0','all paid',business,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,bad
377,'no checking','delayed previously',radio/tv,medium,'<100',unemployed,'male mar/wid',young,skilled,good
378,'no checking','delayed previously',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
379,'0<=X<200','existing paid','new car',high,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
380,'no checking','critical/other existing credit','new car',low,'100<=X<500','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
381,'<0','existing paid',furniture/equipment,medium,'no known savings','4<=X<7','male single',young,skilled,good
382,'0<=X<200','existing paid','used car',high,'<100',unemployed,'female div/dep/mar',young,'high qualif/self emp/mgmt',bad
383,'no checking','existing paid','new car',low,'no known savings','4<=X<7','female div/dep/mar',young,skilled,good
384,'>=200','existing paid','new car',low,'<100','<1','male single',young,skilled,good
385,'no checking','delayed previously',business,medium,'100<=X<500','1<=X<4','male single',young,'unskilled resident',good
386,'no checking','critical/other existing credit',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
387,'no checking','existing paid',radio/tv,low,'no known savings','<1','female div/dep/mar',young,skilled,good
388,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100',unemployed,'male single',middle aged,'high qualif/self emp/mgmt',good
389,'0<=X<200','critical/other existing credit',business,medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
390,'no checking','existing paid',business,low,'<100','4<=X<7','female div/dep/mar',young,skilled,good
391,'no checking','existing paid','new car',low,'<100','1<=X<4','male mar/wid',young,'high qualif/self emp/mgmt',good
392,'0<=X<200','existing paid',furniture/equipment,low,'>=1000','<1','female div/dep/mar',young,'unskilled resident',good
393,'<0','existing paid','new car',medium,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
394,'<0','critical/other existing credit',radio/tv,low,'<100','4<=X<7','female div/dep/mar',young,skilled,good
395,'no checking','critical/other existing credit',furniture/equipment,medium,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
396,'0<=X<200','delayed previously',education,high,'100<=X<500','4<=X<7','male single',young,skilled,good
397,'<0','existing paid',furniture/equipment,medium,'<100',unemployed,'female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
398,'<0','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','male mar/wid',middle aged,skilled,good
399,'0<=X<200','existing paid','new car',low,'<100','>=7','male div/sep',middle aged,skilled,bad
400,'no checking','critical/other existing credit',radio/tv,low,'>=1000','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
401,'no checking','existing paid',radio/tv,low,'<100','<1','male mar/wid',young,skilled,good
402,'0<=X<200','critical/other existing credit',business,low,'no known savings','1<=X<4','male mar/wid',young,skilled,good
403,'no checking','delayed previously',business,medium,'<100','<1','male single',young,skilled,bad
404,'no checking','delayed previously','new car',low,'<100','1<=X<4','male single',young,'unskilled resident',good
405,'0<=X<200','delayed previously','new car',medium,'no known savings','>=7','male single',middle aged,skilled,good
406,'0<=X<200','existing paid',radio/tv,medium,'<100','<1','male mar/wid',young,skilled,bad
407,'no checking','critical/other existing credit','used car',medium,'no known savings','4<=X<7','male single',middle aged,skilled,good
408,'<0','existing paid',radio/tv,low,'<100','<1','male mar/wid',young,skilled,good
409,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male div/sep',young,'high qualif/self emp/mgmt',good
410,'>=200','critical/other existing credit','new car',low,'500<=X<1000','4<=X<7','male mar/wid',young,skilled,bad
411,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','female div/dep/mar',young,skilled,good
412,'no checking','critical/other existing credit','used car',medium,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
413,'no checking','critical/other existing credit',business,medium,'<100',unemployed,'male single',middle aged,'high qualif/self emp/mgmt',bad
414,'no checking','existing paid','new car',low,'500<=X<1000','1<=X<4','male single',middle aged,'unskilled resident',good
415,'<0','existing paid','new car',low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,bad
416,'no checking','critical/other existing credit','used car',medium,'<100','>=7','male single',young,skilled,good
417,'<0','existing paid','new car',medium,'<100','<1','male single',young,'unskilled resident',bad
418,'<0','delayed previously',education,medium,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
419,'no checking','existing paid','new car',medium,'500<=X<1000','4<=X<7','female div/dep/mar',young,'high qualif/self emp/mgmt',good
420,'0<=X<200','existing paid','new car',low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,bad
421,'no checking','existing paid','new car',medium,'>=1000','4<=X<7','female div/dep/mar',young,skilled,good
422,'0<=X<200','existing paid','used car',medium,'no known savings','1<=X<4','male single',young,skilled,good
423,'0<=X<200','critical/other existing credit','new car',low,'<100','4<=X<7','male single',middle aged,'unskilled resident',good
424,'no checking','delayed previously',furniture/equipment,low,'100<=X<500','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
425,'0<=X<200','existing paid',furniture/equipment,medium,'no known savings','>=7','female div/dep/mar',young,skilled,bad
426,'0<=X<200','existing paid','used car',medium,'<100','1<=X<4','male mar/wid',young,skilled,good
427,'no checking','critical/other existing credit',radio/tv,medium,'<100','>=7','male single',young,skilled,good
428,'no checking','critical/other existing credit',radio/tv,low,'>=1000','1<=X<4','male single',middle aged,skilled,good
429,'no checking','existing paid',furniture/equipment,low,'<100','>=7','male single',young,skilled,good
430,'<0','critical/other existing credit',repairs,low,'<100',unemployed,'female div/dep/mar',middle aged,'unemp/unskilled non res',bad
431,'no checking','existing paid',business,medium,'<100','4<=X<7','male single',old aged,'unskilled resident',good
432,'0<=X<200','existing paid',other,low,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',bad
433,'<0','critical/other existing credit',furniture/equipment,low,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
434,'no checking','critical/other existing credit',repairs,medium,'<100','1<=X<4','male div/sep',young,skilled,good
435,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
436,'0<=X<200','existing paid',radio/tv,low,'no known savings','1<=X<4','male mar/wid',young,skilled,bad
437,'no checking','existing paid',repairs,low,'500<=X<1000','4<=X<7','male mar/wid',young,'unskilled resident',good
438,'no checking','critical/other existing credit','new car',low,'>=1000','>=7','female div/dep/mar',young,skilled,good
439,'<0','critical/other existing credit',repairs,medium,'<100',unemployed,'male single',old aged,'unemp/unskilled non res',good
440,'>=200','all paid',business,low,'<100','<1','female div/dep/mar',young,'unemp/unskilled non res',bad
441,'no checking','existing paid','new car',low,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
442,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
443,'0<=X<200','delayed previously',other,medium,'<100','1<=X<4','male single',young,skilled,good
444,'no checking','existing paid',education,medium,'<100','>=7','male single',middle aged,'unskilled resident',bad
445,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
446,'no checking','critical/other existing credit',education,low,'no known savings','>=7','female div/dep/mar',middle aged,'unskilled resident',good
447,'<0','existing paid','new car',low,'<100','<1','female div/dep/mar',young,skilled,bad
448,'0<=X<200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,skilled,good
449,'>=200','existing paid',furniture/equipment,low,'no known savings','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
450,'0<=X<200','delayed previously',repairs,low,'>=1000','1<=X<4','male mar/wid',old aged,skilled,bad
451,'no checking','critical/other existing credit','used car',high,'no known savings','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
452,'no checking','existing paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
453,'no checking','no credits/all paid',furniture/equipment,medium,'<100','>=7','male single',young,skilled,good
454,'no checking','existing paid','used car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
455,'<0','existing paid','new car',medium,'<100','4<=X<7','male single',young,skilled,bad
456,'no checking','existing paid','used car',medium,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
457,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,skilled,good
458,'<0','existing paid','used car',medium,'<100','>=7','male single',young,skilled,bad
459,'<0','existing paid','domestic appliance',low,'<100','<1','female div/dep/mar',young,skilled,good
460,'no checking','existing paid',radio/tv,medium,'<100','<1','male single',young,skilled,good
461,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
462,'<0','existing paid','new car',low,'<100','<1','male single',young,skilled,good
463,'0<=X<200','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
464,'0<=X<200','existing paid',retraining,low,'no known savings','>=7','male single',young,skilled,good
465,'no checking','existing paid',business,low,'<100','4<=X<7','male single',young,skilled,good
466,'<0','existing paid','used car',medium,'<100','1<=X<4','male single',old aged,skilled,good
467,'<0','delayed previously',radio/tv,low,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
468,'no checking','delayed previously',radio/tv,medium,'no known savings','>=7','male single',young,skilled,good
469,'no checking','delayed previously',business,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
470,'no checking','delayed previously','used car',medium,'<100','4<=X<7','male single',young,'unskilled resident',good
471,'0<=X<200','existing paid',radio/tv,medium,'100<=X<500','<1','male mar/wid',young,skilled,bad
472,'<0','existing paid',education,low,'<100','<1','female div/dep/mar',young,skilled,bad
473,'<0','existing paid','new car',low,'<100','1<=X<4','male single',young,'unskilled resident',bad
474,'no checking','existing paid',retraining,low,'no known savings',unemployed,'male single',young,'high qualif/self emp/mgmt',good
475,'0<=X<200','critical/other existing credit',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,bad
476,'<0','no credits/all paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,bad
477,'no checking','existing paid','used car',medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
478,'>=200','existing paid',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,good
479,'0<=X<200','existing paid',business,low,'100<=X<500','4<=X<7','male single',young,'unskilled resident',good
480,'<0','critical/other existing credit',furniture/equipment,low,'<100','>=7','male single',middle aged,skilled,good
481,'0<=X<200','critical/other existing credit',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',good
482,'0<=X<200','existing paid','new car',low,'<100','<1','male single',young,skilled,good
483,'<0','existing paid',furniture/equipment,medium,'>=1000','>=7','female div/dep/mar',middle aged,skilled,good
484,'no checking','delayed previously',furniture/equipment,low,'>=1000','4<=X<7','female div/dep/mar',young,skilled,good
485,'no checking','critical/other existing credit','new car',low,'500<=X<1000','1<=X<4','male single',middle aged,skilled,good
486,'0<=X<200','delayed previously','new car',low,'<100',unemployed,'male single',middle aged,'high qualif/self emp/mgmt',bad
487,'no checking','existing paid',radio/tv,medium,'<100','1<=X<4','male single',middle aged,skilled,good
488,'no checking','existing paid','new car',medium,'<100','>=7','female div/dep/mar',old aged,skilled,good
489,'no checking','existing paid','new car',low,'100<=X<500','1<=X<4','male single',young,'unskilled resident',good
490,'no checking','existing paid','new car',medium,'<100','1<=X<4','male single',young,skilled,good
491,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male single',young,skilled,good
492,'0<=X<200','no credits/all paid',business,medium,'<100','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',bad
493,'no checking','critical/other existing credit',radio/tv,low,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,good
494,'0<=X<200','existing paid',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
495,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,'unskilled resident',good
496,'<0','existing paid',furniture/equipment,medium,'no known savings','1<=X<4','male mar/wid',young,skilled,bad
497,'0<=X<200','existing paid',furniture/equipment,high,'100<=X<500','<1','male single',young,'high qualif/self emp/mgmt',bad
498,'no checking','critical/other existing credit',furniture/equipment,low,'<100','4<=X<7','male single',middle aged,skilled,good
499,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','male mar/wid',young,'unskilled resident',good
500,'>=200','critical/other existing credit','new car',low,'100<=X<500','>=7','male div/sep',young,skilled,good
501,'<0','existing paid','new car',medium,'<100','<1','female div/dep/mar',young,skilled,bad
502,'<0','existing paid','used car',medium,'<100','>=7','male single',middle aged,skilled,good
503,'>=200','existing paid',radio/tv,low,'100<=X<500','>=7','male div/sep',middle aged,skilled,good
504,'0<=X<200','critical/other existing credit',radio/tv,low,'100<=X<500','<1','male single',young,skilled,bad
505,'<0','existing paid','new car',low,'<100','<1','female div/dep/mar',young,skilled,bad
506,'no checking','existing paid','new car',low,'no known savings','1<=X<4','male single',young,'unskilled resident',bad
507,'>=200','critical/other existing credit','used car',medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
508,'0<=X<200','all paid','new car',medium,'100<=X<500',unemployed,'male single',young,'high qualif/self emp/mgmt',bad
509,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,good
510,'no checking','existing paid','used car',medium,'100<=X<500','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
511,'<0','existing paid','new car',low,'<100','4<=X<7','male single',young,skilled,bad
512,'no checking','existing paid','used car',medium,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
513,'>=200','existing paid',business,medium,'<100','4<=X<7','male single',young,skilled,good
514,'0<=X<200','delayed previously',radio/tv,medium,'<100','1<=X<4','male mar/wid',young,skilled,good
515,'no checking','existing paid','new car',medium,'no known savings','<1','male single',middle aged,skilled,good
516,'<0','critical/other existing credit','new car',low,'<100','4<=X<7','female div/dep/mar',young,skilled,good
517,'<0','critical/other existing credit','new car',low,'<100','<1','male single',middle aged,'unskilled resident',good
518,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,bad
519,'<0','existing paid','new car',low,'100<=X<500','>=7','male single',middle aged,skilled,good
520,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
521,'no checking','critical/other existing credit',repairs,medium,'<100','>=7','male single',middle aged,skilled,good
522,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
523,'<0','no credits/all paid',furniture/equipment,medium,'<100','1<=X<4','male single',middle aged,skilled,bad
524,'no checking','existing paid','used car',medium,'100<=X<500','4<=X<7','female div/dep/mar',young,skilled,good
525,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',good
526,'0<=X<200','existing paid','used car',medium,'<100','<1','male single',young,skilled,good
527,'no checking','critical/other existing credit',education,low,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,good
528,'no checking','critical/other existing credit',radio/tv,low,'<100','4<=X<7','male single',middle aged,'unskilled resident',good
529,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','male div/sep',young,skilled,bad
530,'<0','existing paid','new car',low,'<100','<1','male single',middle aged,'unskilled resident',good
531,'0<=X<200','existing paid',education,medium,'<100','4<=X<7','male single',young,skilled,good
532,'0<=X<200','existing paid','new car',medium,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,bad
533,'no checking','delayed previously','used car',low,'<100','1<=X<4','male mar/wid',middle aged,skilled,good
534,'no checking','existing paid',radio/tv,low,'100<=X<500','4<=X<7','male mar/wid',young,skilled,good
535,'no checking','existing paid',radio/tv,medium,'no known savings','<1','male single',young,skilled,good
536,'>=200','critical/other existing credit',education,medium,'<100','<1','male div/sep',young,skilled,bad
537,'<0','existing paid','new car',low,'no known savings',unemployed,'female div/dep/mar',old aged,'high qualif/self emp/mgmt',good
538,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','>=7','female div/dep/mar',young,skilled,good
539,'<0','existing paid','new car',medium,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
540,'>=200','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',middle aged,'unskilled resident',good
541,'0<=X<200','existing paid',radio/tv,low,'<100','<1','male mar/wid',young,skilled,bad
542,'no checking','delayed previously','new car',medium,'<100','>=7','male single',middle aged,skilled,good
543,'<0','existing paid',furniture/equipment,medium,'no known savings','>=7','male single',young,skilled,bad
544,'>=200','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,'unskilled resident',bad
545,'no checking','critical/other existing credit','new car',low,'<100','>=7','male single',old aged,'unskilled resident',good
546,'<0','delayed previously','new car',low,'<100',unemployed,'male single',middle aged,skilled,bad
547,'no checking','critical/other existing credit','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
548,'no checking','existing paid',radio/tv,low,'<100','4<=X<7','male single',young,skilled,good
549,'<0','all paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
550,'no checking','critical/other existing credit','used car',medium,'no known savings','4<=X<7','male single',young,skilled,good
551,'no checking','critical/other existing credit',repairs,low,'no known savings','4<=X<7','female div/dep/mar',young,skilled,good
552,'no checking','all paid',radio/tv,low,'500<=X<1000','>=7','male single',middle aged,'unskilled resident',good
553,'<0','existing paid',radio/tv,medium,'<100','4<=X<7','male mar/wid',young,skilled,bad
554,'0<=X<200','critical/other existing credit','new car',low,'100<=X<500','<1','male single',young,skilled,good
555,'0<=X<200','existing paid',education,low,'<100','4<=X<7','female div/dep/mar',old aged,'high qualif/self emp/mgmt',good
556,'0<=X<200','existing paid',radio/tv,low,'<100','<1','male single',young,skilled,bad
557,'0<=X<200','no credits/all paid','new car',medium,'100<=X<500','<1','female div/dep/mar',young,skilled,bad
558,'no checking','no credits/all paid','new car',medium,'no known savings','1<=X<4','female div/dep/mar',young,skilled,bad
559,'<0','all paid',furniture/equipment,medium,'<100','4<=X<7','male single',young,skilled,bad
560,'0<=X<200','critical/other existing credit',furniture/equipment,low,'<100','<1','male single',young,'unskilled resident',bad
561,'<0','existing paid','used car',medium,'no known savings','>=7','male single',middle aged,skilled,good
562,'<0','all paid',radio/tv,low,'<100','4<=X<7','male single',young,'unskilled resident',bad
563,'>=200','delayed previously',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,good
564,'0<=X<200','existing paid','new car',high,'no known savings','1<=X<4','male single',young,skilled,bad
565,'0<=X<200','delayed previously',business,medium,'no known savings','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
566,'0<=X<200','delayed previously',radio/tv,low,'100<=X<500','4<=X<7','female div/dep/mar',young,skilled,good
567,'<0','existing paid','new car',low,'<100','4<=X<7','male div/sep',young,skilled,bad
568,'no checking','critical/other existing credit',radio/tv,medium,'>=1000','>=7','male single',young,skilled,good
